process	process_group						
BBMAP_ALIGN	alignment						
BBMAP_BBDUK	preprocessing						
BBMAP_INDEX	alignment						
CAT_FASTQ	other						
COLLECT_FEATURECOUNTS	quantification						
COLLECT_STATS	summary						
DIAMOND_TAXONOMY	taxon-annot						
FAA_CAT	orf-calling						
FASTQC	preprocessing						
FEATURECOUNTS	quantification						
FFN_CAT	orf-calling						
TAX_RANKLIST	summary						
TAX_TAXDUMP	summary						
GFF_CAT	orf-calling						
MEGAHIT_INTERLEAVED	assembly						
MERGE_TABLES	summary						
MULTIQC	summary						
PIGZ_DIAMOND_LINEAGE	taxon-annot						
PROKKAGFF2TSV	post-orf-calling						
PROKKA	orf-calling						
SAMTOOLS_FLAGSTAT	quantification						
SAMTOOLS_IDXSTATS	quantification						
SAMTOOLS_INDEX	quantification						
SAMTOOLS_SORT	quantification						
SAMTOOLS_STATS	quantification						
SEQTK_MERGEPE	assembly						
SUM_DIAMONDTAX	taxon-annot						
TAXONKIT_LINEAGE	taxon-annot						
TRIMGALORE	preprocessing						
UNPIGZ_CONTIGS	other						
UNPIGZ_GFF	other						
SAMPLE_SKETCH	filtering						
TIDYVERSE_JOINMETADATA	filtering						
CAT_FNA	quantification						
GENOMES2ORFS	summary						
CAT_GFF	post-orf-calling					
FASTQC_TR	preprocessing
GATHER_REMOTE_GENOMES	filtering
WGET_GENOME	filtering
CATPROKKATSVS	orf-calling
TRANSRATE	other
